coin,datetime,price,volume
avalanche-2,2025-06-08 00:00:00,20.706495593757044,273863669.98283225
avalanche-2,2025-06-09 00:00:00,21.115839375341228,333559721.08122396
avalanche-2,2025-06-10 00:00:00,21.938401810827937,458651623.0938785
avalanche-2,2025-06-11 00:00:00,22.50971393437475,580229774.9445751
avalanche-2,2025-06-12 00:00:00,21.58841457620008,497234564.87239337
avalanche-2,2025-06-13 00:00:00,20.37505327855098,420620082.6090417
avalanche-2,2025-06-14 00:00:00,19.390865082817484,733780448.1303315
avalanche-2,2025-06-15 00:00:00,18.97040241295195,223796784.3068976
avalanche-2,2025-06-16 00:00:00,19.11510406614086,201092085.63299388
avalanche-2,2025-06-17 00:00:00,19.193574863772433,362859389.44545233
avalanche-2,2025-06-18 00:00:00,18.639396268508662,407226423.64441055
avalanche-2,2025-06-19 00:00:00,18.153579843136125,335852778.5240806
avalanche-2,2025-06-20 00:00:00,18.06960611740442,321238606.8966133
avalanche-2,2025-06-21 00:00:00,17.346745800298585,340011502.6630012
avalanche-2,2025-06-22 00:00:00,16.66501799462414,342834296.5561315
avalanche-2,2025-06-23 00:00:00,16.504194814921206,463945610.1590958
avalanche-2,2025-06-24 00:00:00,18.089989725864278,543544804.1086445
avalanche-2,2025-06-25 00:00:00,18.217957902634573,372040629.25257117
avalanche-2,2025-06-26 00:00:00,17.544054747416485,286250819.87153995
avalanche-2,2025-06-27 00:00:00,17.226335888229112,248700778.30924627
avalanche-2,2025-06-28 00:00:00,17.569724773717734,220953779.62273633
avalanche-2,2025-06-29 00:00:00,17.98572460712256,141707019.74844867
avalanche-2,2025-06-30 00:00:00,18.739766975172618,222865179.25259313
avalanche-2,2025-07-01 00:00:00,17.974548459035702,294658463.5025032
avalanche-2,2025-07-02 00:00:00,17.09159924189345,235734925.73110667
avalanche-2,2025-07-03 00:00:00,18.510093906308196,394827228.0744158
avalanche-2,2025-07-04 00:00:00,18.53106385088842,326665018.2033917
avalanche-2,2025-07-05 00:00:00,17.800767460842177,292828126.0914298
avalanche-2,2025-07-06 00:00:00,17.922309969493995,116826851.17840143
avalanche-2,2025-07-07 00:00:00,18.299319657528763,185522373.3101539
avalanche-2,2025-07-08 00:00:00,17.995045665212402,196057232.51914212
avalanche-2,2025-07-09 00:00:00,18.364624641105806,236775861.5611025
avalanche-2,2025-07-10 00:00:00,19.504779962650648,439493106.5101088
avalanche-2,2025-07-11 00:00:00,20.65301121854369,650080838.082523
avalanche-2,2025-07-12 00:00:00,20.681670500291517,796701511.9038575
avalanche-2,2025-07-13 00:00:00,20.66399856993283,510066704.07880914
avalanche-2,2025-07-14 00:00:00,21.18558444040671,651678640.0603992
avalanche-2,2025-07-15 00:00:00,21.241309914482624,666832049.1480447
avalanche-2,2025-07-16 00:00:00,22.499635339902547,1027776507.6008435
avalanche-2,2025-07-17 00:00:00,22.686863284725913,810649954.1748805
avalanche-2,2025-07-18 00:00:00,23.83486996013503,1036676835.6548123
avalanche-2,2025-07-19 00:00:00,23.48742556530643,1180353240.7953925
avalanche-2,2025-07-20 00:00:00,24.528334435148825,780964484.3750886
avalanche-2,2025-07-21 00:00:00,25.067540484152524,857391466.5657622
avalanche-2,2025-07-22 00:00:00,25.46496745496456,1065018812.6789647
avalanche-2,2025-07-23 00:00:00,25.82363888495997,1526819429.313608
avalanche-2,2025-07-24 00:00:00,23.941706974771556,1106861219.6039433
avalanche-2,2025-07-25 00:00:00,23.66487627395623,815507488.8023086
avalanche-2,2025-07-26 00:00:00,23.988730669255503,696758832.4589605
avalanche-2,2025-07-27 00:00:00,24.938654580013772,580850819.3407677
avalanche-2,2025-07-28 00:00:00,25.960361202926606,584284740.4453031
avalanche-2,2025-07-29 00:00:00,25.1162871538678,1245944505.5121055
avalanche-2,2025-07-30 00:00:00,24.340440899495697,792169109.4248894
avalanche-2,2025-07-31 00:00:00,23.34449235038936,679630284.9411223
avalanche-2,2025-08-01 00:00:00,22.470346979610884,593853611.3861259
avalanche-2,2025-08-02 00:00:00,21.53694717365909,786633709.309594
avalanche-2,2025-08-03 00:00:00,20.893413835769646,355009730.40538543
avalanche-2,2025-08-04 00:00:00,21.384275375985286,272052494.0904072
avalanche-2,2025-08-05 00:00:00,23.077846720742453,602615457.3258599
avalanche-2,2025-08-06 00:00:00,21.896739252096598,435450385.0407899
avalanche-2,2025-08-07 00:00:00,22.234170644214228,365816637.39077926
avalanche-2,2025-08-08 00:00:00,23.331119804239858,538265754.768839
avalanche-2,2025-08-09 00:00:00,23.788957067423837,714667242.6932315
avalanche-2,2025-08-10 00:00:00,24.252738746523235,722337290.8992431
avalanche-2,2025-08-11 00:00:00,23.811504742434824,500049054.14571065
avalanche-2,2025-08-12 00:00:00,22.864999008110875,648375557.8116405
avalanche-2,2025-08-13 00:00:00,24.684404453320322,712177648.315514
avalanche-2,2025-08-14 00:00:00,25.541232406883683,805677962.0709732
avalanche-2,2025-08-15 00:00:00,23.69760506911866,1072331324.8116215
avalanche-2,2025-08-16 00:00:00,23.722401364389075,1392515239.827056
avalanche-2,2025-08-17 00:00:00,24.310747230871876,588112044.9000299
avalanche-2,2025-08-18 00:00:00,25.093957037964866,687887793.8667432
avalanche-2,2025-08-19 00:00:00,23.695875660586772,841718775.1022365
avalanche-2,2025-08-20 00:00:00,22.3601487448039,638960990.4260774
avalanche-2,2025-08-21 00:00:00,23.438579134136475,531335002.438467
avalanche-2,2025-08-22 00:00:00,22.758145756582852,412996790.5431279
avalanche-2,2025-08-23 00:00:00,25.232308381764724,947105272.6470675
avalanche-2,2025-08-24 00:00:00,26.197598643676205,1185828652.009149
avalanche-2,2025-08-25 00:00:00,25.750784617330282,871197117.1073627
avalanche-2,2025-08-26 00:00:00,23.360989921520627,885697191.6012222
avalanche-2,2025-08-27 00:00:00,24.1655194443137,592638566.0922716
avalanche-2,2025-08-28 00:00:00,24.427422186762627,737180917.7331967
avalanche-2,2025-08-29 00:00:00,24.89859330495452,562577262.7960426
avalanche-2,2025-08-30 00:00:00,23.590323990229244,776719385.5446575
avalanche-2,2025-08-31 00:00:00,23.78614026405449,297854581.3623848
avalanche-2,2025-09-01 00:00:00,23.42296952162818,293041984.3571643
avalanche-2,2025-09-02 00:00:00,23.157128542000244,723342290.2089884
avalanche-2,2025-09-03 00:00:00,24.441375057577556,742394892.6609383
avalanche-2,2025-09-04 00:00:00,25.179961571894133,710427114.6154007
avalanche-2,2025-09-05 00:00:00,24.256169799108758,475987760.55082345
avalanche-2,2025-09-06 00:00:00,24.47230968132273,624310150.063879
avalanche-2,2025-09-07 00:00:00,24.385308538883034,267207387.9160402
avalanche-2,2025-09-08 00:00:00,24.731178774276195,331836086.5419804
avalanche-2,2025-09-09 00:00:00,25.252749736383077,625407665.8599029
avalanche-2,2025-09-10 00:00:00,25.934911243395995,876504753.6469039
avalanche-2,2025-09-11 00:00:00,29.41057204042156,1768498183.5698998
avalanche-2,2025-09-12 00:00:00,29.180551353107607,1069872134.9215724
avalanche-2,2025-09-13 00:00:00,28.90940177175881,848842890.5420201
avalanche-2,2025-09-14 00:00:00,30.04107387185383,1526526783.1470525
avalanche-2,2025-09-15 00:00:00,29.524952023197276,1008792730.457274
avalanche-2,2025-09-16 00:00:00,29.824138697366195,1238904142.152448
avalanche-2,2025-09-17 00:00:00,30.070051524198515,1045888391.1339377
avalanche-2,2025-09-18 00:00:00,31.753143849772282,1184311649.5087984
avalanche-2,2025-09-19 00:00:00,35.28107919290268,2229303709.178062
avalanche-2,2025-09-20 00:00:00,33.73790850905041,1524905863.3855357
avalanche-2,2025-09-21 00:00:00,33.15070697088437,805376236.298831
avalanche-2,2025-09-22 00:00:00,33.05638988106749,683678353.6300374
avalanche-2,2025-09-23 00:00:00,33.63166074971003,2107008468.4220312
avalanche-2,2025-09-24 00:00:00,33.65724232100417,2537438503.6038036
avalanche-2,2025-09-25 00:00:00,32.34325807991472,1377327870.6103723
avalanche-2,2025-09-26 00:00:00,28.67773702284836,1638743448.8645852
avalanche-2,2025-09-27 00:00:00,29.086862150048912,1642661190.565556
avalanche-2,2025-09-28 00:00:00,28.802313739517615,573273730.1685547
avalanche-2,2025-09-29 00:00:00,30.01253229115534,840304215.7598373
avalanche-2,2025-09-30 00:00:00,30.442173424094484,1279540364.6429336
avalanche-2,2025-10-01 00:00:00,29.993807039710433,991708161.539438
avalanche-2,2025-10-02 00:00:00,30.680794706794178,986743876.4680185
avalanche-2,2025-10-03 00:00:00,30.990311410480448,1572235241.4319332
avalanche-2,2025-10-04 00:00:00,31.383026520546338,1137839386.8736463
avalanche-2,2025-10-05 00:00:00,30.139925111008488,672301196.6406469
avalanche-2,2025-10-06 00:00:00,30.000104022729893,784479884.4072828
avalanche-2,2025-10-07 00:00:00,30.728304595758964,806397040.0368526
avalanche-2,2025-10-08 00:00:00,27.93958449695807,1090440643.1891632
avalanche-2,2025-10-09 00:00:00,28.812116570504525,711369184.519935
avalanche-2,2025-10-10 00:00:00,28.38191120183488,588999254.4241933
avalanche-2,2025-10-11 00:00:00,21.02500837947636,2229479554.2709055
avalanche-2,2025-10-12 00:00:00,21.516279722457195,1534245528.45489
avalanche-2,2025-10-13 00:00:00,22.51955506308954,1236281983.0998695
avalanche-2,2025-10-14 00:00:00,23.827901781041856,1575332377.4438262
avalanche-2,2025-10-15 00:00:00,22.78187985680888,1221356131.0430675
avalanche-2,2025-10-16 00:00:00,21.91947689021193,722670916.1877238
avalanche-2,2025-10-17 00:00:00,20.936345327776067,800034957.589291
avalanche-2,2025-10-18 00:00:00,19.95378774357534,896595119.6205776
avalanche-2,2025-10-19 00:00:00,20.199089239726998,329306081.0977544
avalanche-2,2025-10-20 00:00:00,20.59188544842995,439481291.65320873
avalanche-2,2025-10-21 00:00:00,20.359636247835926,575527072.2684473
avalanche-2,2025-10-22 00:00:00,19.552539914113915,636491903.4650979
avalanche-2,2025-10-23 00:00:00,19.002140200979717,551414294.4007206
avalanche-2,2025-10-24 00:00:00,19.119508191765995,425288621.2601426
avalanche-2,2025-10-25 00:00:00,19.490816801172947,419029070.800412
avalanche-2,2025-10-26 00:00:00,19.71844203932266,262264060.5746434
avalanche-2,2025-10-27 00:00:00,20.841205952010807,550886495.4896059
avalanche-2,2025-10-28 00:00:00,20.32283380206339,495121219.88802284
avalanche-2,2025-10-29 00:00:00,19.507391316081623,537331702.0199596
avalanche-2,2025-10-30 00:00:00,19.643634293399195,473785423.1384793
avalanche-2,2025-10-31 00:00:00,18.11029249626702,644183268.5624864
avalanche-2,2025-11-01 00:00:00,18.19285646604654,455639621.31631434
avalanche-2,2025-11-02 00:00:00,18.67010528904684,270653007.54232246
avalanche-2,2025-11-03 00:00:00,18.843925688120837,291861772.6749549
avalanche-2,2025-11-04 00:00:00,16.658252572025987,793142125.7944183
avalanche-2,2025-11-05 00:00:00,16.03381026051089,876206242.2021221
avalanche-2,2025-11-06 00:00:00,16.659796679629753,550003684.6577446
avalanche-2,2025-11-07 00:00:00,16.071447945181237,450122345.6009682
avalanche-2,2025-11-08 00:00:00,17.72303608930567,853398496.8890605
avalanche-2,2025-11-09 00:00:00,17.47578673558129,523391730.38833493
avalanche-2,2025-11-10 00:00:00,17.733283633421816,409103601.9351617
avalanche-2,2025-11-11 00:00:00,18.180996926146044,510554411.80822647
avalanche-2,2025-11-12 00:00:00,17.010581780265014,486015557.80184424
avalanche-2,2025-11-13 00:00:00,16.80812653947159,428287835.332865
avalanche-2,2025-11-14 00:00:00,16.13161786333918,600549769.0096599
avalanche-2,2025-11-15 00:00:00,15.176595520975637,712923767.3249332
avalanche-2,2025-11-16 00:00:00,15.524769494574983,265891752.14334196
avalanche-2,2025-11-17 00:00:00,15.197205077197737,459869000.25211763
avalanche-2,2025-11-18 00:00:00,14.48297761203437,614505657.9558799
avalanche-2,2025-11-19 00:00:00,14.561003412225359,554386484.3144474
avalanche-2,2025-11-20 00:00:00,14.253350789432277,493257672.19290566
avalanche-2,2025-11-21 00:00:00,13.844894020427093,543823732.1840272
avalanche-2,2025-11-22 00:00:00,13.310521447144469,705304061.3567768
avalanche-2,2025-11-23 00:00:00,13.227116853715556,369513889.6347896
avalanche-2,2025-11-24 00:00:00,13.285025892776547,304950983.14589816
avalanche-2,2025-11-25 00:00:00,13.896005393680603,461012003.8821811
avalanche-2,2025-11-26 00:00:00,14.175014431391661,439606677.8816492
avalanche-2,2025-11-27 00:00:00,14.914913643032879,436666960.0255343
avalanche-2,2025-11-28 00:00:00,15.025131479675002,397366226.6213219
avalanche-2,2025-11-29 00:00:00,14.856266893913542,402073237.3111175
avalanche-2,2025-11-30 00:00:00,14.247682480995412,280897825.1551361
avalanche-2,2025-12-01 00:00:00,13.823399975971387,341687395.2788221
avalanche-2,2025-12-02 00:00:00,12.799065882099853,477437604.2430444
avalanche-2,2025-12-03 00:00:00,13.650416260433843,520134300.15995824
